2017-11-12 09:46:43.846 INFO  singlejartest.Main - Connecting...
2017-11-12 09:46:44.020 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - environment(jnlp.client.mode)=null, platformInstanceId=null
2017-11-12 09:46:44.032 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 1 request [3ACF84125D794763FAF6B1E049EAB23E0338CCFC]
2017-11-12 09:46:44.034 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - >> [https://login.dukascopy.com/authorization-1/demo/auth?munus=srp_api&passus=1&sermo=52de8c0c-efcf-4b04-88ab-57220e495424&putent_genus=0&appello=3ACF84125D794763FAF6B1E049EAB23E0338CCFC&srp_versio=1]
2017-11-12 09:46:45.191 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - << [{"B":"319334808abfa96f180b25ced677ea0feec0622b1ef52a5fd3eefd8bd939faab4a4a3efc748e958ea426b3b03ee77f9e6c073ceffd05826b7623eafd318b2a9a35f4d1488bd8ea1283eeee35b65a21d64c664ee502f8592b947856f0910d70d41d69574db5dd510bc5993dc6cdb033eb4608dbadf82e8334c5861eba8f84a2eeb567c7b85487ee43e187a3dc3d7ca820aea53b547787505dfbf5c100970a711ce1c3f54fedb39357893904a58dc0f1d2cd5704fc2f69c86cbe72dcca2d7a2e4b995cd2ae5cc969e21d9dfbcabfe39165317c6aa3b145136f0b8407f01cc1d403ae0883b3719d42934ec8b35c318af856e2c3fb883df1dbde6225a24ad2235967","S":"6f04d435508cd241332ac6a5452c3cf0","G":"2","H":"SHA-256","K":"5b9e8ef059c6b32ea59fc1d322d37f04aa30bae5aa9003b8321e21ddb04e300","N":"ac6bdb41324a9a9bf166de5e1389582faf72b6651987ee07fc3192943db56050a37329cbb4a099ed8193e0757767a13dd52312ab4b03310dcd7f48a9da04fd50e8083969edb767b0cf6095179a163ab3661a05fbd5faaae82918a9962f0b93b855f97993ec975eeaa80d740adbf4ff747359d041d5c33ea71d281e446b14773bca97b43a23fb801676bd207a436c6481f1d2b9078717461a5b9d32e688f87748544523b524b0d57d5ea77a2775d2ecfa032cfbdbf52fb3786160279004e57ae6af874e7303ce53299ccc041c7bc308d82a5698f3a8d0c38271ae35f8e9dbfbb694b5c803d89f7ae435de236d525f54759b65e372fcd68ef20fa7111f9e4aff73","srp_versio":"1"}]
2017-11-12 09:46:45.192 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 1 response [ServerResponseObject [passwordServerResponse=Step1ServerResponse [serverPublicValueB=319334808abfa96f180b25ced677ea0feec0622b1ef52a5fd3eefd8bd939faab4a4a3efc748e958ea426b3b03ee77f9e6c073ceffd05826b7623eafd318b2a9a35f4d1488bd8ea1283eeee35b65a21d64c664ee502f8592b947856f0910d70d41d69574db5dd510bc5993dc6cdb033eb4608dbadf82e8334c5861eba8f84a2eeb567c7b85487ee43e187a3dc3d7ca820aea53b547787505dfbf5c100970a711ce1c3f54fedb39357893904a58dc0f1d2cd5704fc2f69c86cbe72dcca2d7a2e4b995cd2ae5cc969e21d9dfbcabfe39165317c6aa3b145136f0b8407f01cc1d403ae0883b3719d42934ec8b35c318af856e2c3fb883df1dbde6225a24ad2235967, saltS=6f04d435508cd241332ac6a5452c3cf0, safePrimeN=ac6bdb41324a9a9bf166de5e1389582faf72b6651987ee07fc3192943db56050a37329cbb4a099ed8193e0757767a13dd52312ab4b03310dcd7f48a9da04fd50e8083969edb767b0cf6095179a163ab3661a05fbd5faaae82918a9962f0b93b855f97993ec975eeaa80d740adbf4ff747359d041d5c33ea71d281e446b14773bca97b43a23fb801676bd207a436c6481f1d2b9078717461a5b9d32e688f87748544523b524b0d57d5ea77a2775d2ecfa032cfbdbf52fb3786160279004e57ae6af874e7303ce53299ccc041c7bc308d82a5698f3a8d0c38271ae35f8e9dbfbb694b5c803d89f7ae435de236d525f54759b65e372fcd68ef20fa7111f9e4aff73, correspondingGeneratorG=2, hashAlgorithmH=SHA-256, srpProtocolVersion=1], ]]
2017-11-12 09:46:45.250 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 2 request A [3740001545003309422091687405860143598779445111785430233155247804666440214811056278797309424427674194473078970563378539942809015528333257337836305737903275831888527192597491514646192029292227347371416013574769459963871727661706502281685204064885069530352535723973137247712317993205772651819339364563052591516519163706025804333230769394833536632563025852221596902929446302114803386362805709668840853523508185945439031276317863541506440182344370832916395469455634708562666509359042205961052483841363972002738895480016565351014988528687618059250539726043605064677961953885208848774626031467784611389497057007089223935226], M1 [12077582134641802724597382574410550263691506100724047379954295593290263208351]
2017-11-12 09:46:45.250 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - >> [https://login.dukascopy.com/authorization-1/demo/auth?munus=srp_api&testimonium_nuntius=1ab3ab5364782fe5c66991cf19c088cef6a3dd6382a1579cf290c0cc18a8a19f&passus=2&publicus_pendo=1da0638d2cf9617ffe5228df770b03d070e57c5b47a4fd4f93b787c533fbc1577cfd5fb5b3400df9cc89271ca801ed8b935749c56adbb7c7822ebb8101d8c86af6a3f98bf029191d9d0d42e5676a6eec1c7efe24a07741c88b72583784bd755098967e16d0d979d13d9b7811008f703df1259d66f853ae3b8cc6d3f4bc528d1ca2ef0e8e2e53b783d176bb82ae736fd00db09af598573d039e299e7522e1a738d414d24ebf899ea775a14ea8393f8a13a9794a3edb8149e7a3e137fadb2f92800d8ca2ff0368f5107a900fea6b49e58f635c124ff93bb009730f6116a8242822fc6bf791d43bf4de72d6508fc8b850f03ac100938c5fe2943726e26f0c2324fa&sermo=52de8c0c-efcf-4b04-88ab-57220e495424&putent_genus=0&srp_versio=1]
2017-11-12 09:46:46.101 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - << [{"M2":"8ab76a2e3965155aded9d874b09307767f977ab9fc40f53f8f0f0fa0dd3dbe7","srp_versio":"1"}]
2017-11-12 09:46:46.103 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 2 response [ServerResponseObject [passwordServerResponse=Step2ServerResponse [serverEvidenceMessageM2=8ab76a2e3965155aded9d874b09307767f977ab9fc40f53f8f0f0fa0dd3dbe7, srpProtocolVersion=1], ]]
2017-11-12 09:46:46.104 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 3 request
